Time_ns,Peptide_1
0.0,3.5771244570064056
0.2,3.553798491908333
0.4,3.682374871634474
0.6,3.8041356283834853
0.8,3.7376904363849905
1.0,3.656175742915642
1.2,3.7038203568509536
1.4,3.8653412819983153
1.6,3.913209408222258
1.8,3.6431556783048036
2.0,3.6013850903973252
2.2,3.5158750657230473
2.4,3.43090574797007
2.6,3.541290860282078
2.8,3.6228508092791945
3.0,3.5161951212610183
3.2,3.639324619617662
3.4,3.761601884090731
3.6,3.545640234310731
3.8,3.5151298210750497
4.0,3.7123894227296144
4.2,3.602538653142118
4.4,3.7066859129578624
4.6,3.866735038938231
4.8,3.992297793965614
5.0,4.053647881833937
5.2,3.989560841360262
5.4,3.984436188127132
5.6,3.9266579753441766
5.8,3.8615784522040806
6.0,3.845048488333615
6.2,3.966286462216338
6.4,4.074525007009972
6.6,4.054083403166356
6.8,4.221229100173002
7.0,4.4743105109872285
7.2,4.549108937986931
7.4,4.368332704170124
7.6,4.708873520319958
7.8,4.428847586281922
8.0,4.582899742452406
8.2,4.643836901233536
8.4,4.439846605265353
8.6,4.640659488184701
8.8,4.4533409215184365
9.0,4.631846714743709
9.2,4.59112565888567
9.4,4.740093060319326
9.6,4.567465478159542
9.8,4.362534891288494
10.0,4.645528228150711
10.2,4.5244115956772
10.4,4.411553559712
10.6,4.328588862361892
10.8,4.251603797424543
11.0,4.30086027838103
11.2,4.496936614245517
11.4,4.37581451722853
11.6,4.494993470898562
11.8,4.3493658894650356
12.0,4.2226624795641285
12.2,4.442895931957231
12.4,4.527844820511833
12.6,4.698694542969826
12.8,4.668394386001694
13.0,4.321484053716183
13.2,4.39084168779457
13.4,4.60568206729146
13.6,4.6613050779440295
13.8,4.6707430953586915
14.0,4.61962691371617
14.2,4.541020402830377
14.4,4.5731489681989235
14.6,4.553706444943384
14.8,4.66961593801809
15.0,4.765471134931047
15.2,4.606377095491925
15.4,4.517552536014327
15.6,4.522777183926207
15.8,4.657940450488727
16.0,4.66375229864976
16.2,4.6295707917512114
16.4,4.5563441402587035
16.6,4.290432647597564
16.8,4.508701262001532
17.0,4.598322431957911
17.2,4.649145326183332
17.4,4.838720954599944
